n,r,m
(:Entity {name: Abhimanyu}),[:REL {type: Son Of}],(:Entity {name: Subhadra})
(:Entity {name: Abhimanyu}),[:REL {type: Also Known}],(:Entity {name: Saubhadra})
(:Entity {name: Abhimanyu}),[:REL {type: Killed}],(:Entity {name: Lakshmana})
(:Entity {name: Abhimanyu}),[:REL {type: Husband of}],(:Entity {name: Uttara})
(:Entity {name: Abhimanyu}),[:REL {type: Father Of}],(:Entity {name: Parikshit})
(:Entity {name: Arjuna}),[:REL {type: Assisted}],(:Entity {name: Agni})
(:Entity {name: Arjuna}),[:REL {type: Father Of}],(:Entity {name: Abhimanyu})
(:Entity {name: Arjuna}),[:REL {type: Carried Off}],(:Entity {name: Subhadra})
(:Entity {name: Arjuna}),[:REL {type: Married}],(:Entity {name: Subhadra})
(:Entity {name: Arjuna}),[:REL {type: Served}],(:Entity {name: Virata})
(:Entity {name: Arjuna}),[:REL {type: performed rites for}],(:Entity {name: Krishna})
(:Entity {name: Arjuna}),[:REL {type: killed}],(:Entity {name: Karna})
(:Entity {name: Arjuna}),[:REL {type: Killed}],(:Entity {name: Karna})
(:Entity {name: Arjuna}),[:REL {type: Son Of}],(:Entity {name: Indra})
(:Entity {name: Arjuna}),[:REL {type: Student Of}],(:Entity {name: Drona})
(:Entity {name: Arjuna}),[:REL {type: Fought}],(:Entity {name: Siva})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Aindri})
(:Entity {name: Arjuna}),[:REL {type: Father Of}],(:Entity {name: Iravat})
(:Entity {name: Arjuna}),[:REL {type: Mortally Wounded}],(:Entity {name: Bhishma})
(:Entity {name: Arjuna}),[:REL {type: Wounded}],(:Entity {name: Bhishma})
(:Entity {name: Arjuna}),[:REL {type: Married}],(:Entity {name: Draupadi})
(:Entity {name: Arjuna}),[:REL {type: Husband Of}],(:Entity {name: Ulupi})
(:Entity {name: Arjuna}),[:REL {type: Married}],(:Entity {name: Ulupi})
(:Entity {name: Arjuna}),[:REL {type: Married}],(:Entity {name: Chitrangada})
(:Entity {name: Arjuna}),[:REL {type: Father Of}],(:Entity {name: Babhruvahana})
(:Entity {name: Arjuna}),[:REL {type: Fought With}],(:Entity {name: Babhruvahana})
(:Entity {name: Arjuna}),[:REL {type: Defeated}],(:Entity {name: Susarman})
(:Entity {name: Arjuna}),[:REL {type: Killed}],(:Entity {name: Jayadratha})
(:Entity {name: Arjuna}),[:REL {type: Defeated}],(:Entity {name: King of Trigarta})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Bibhatsu})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Gudakesa})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Dhananjaya})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Jishnu})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Kiritin})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Pakasasani})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Phalguna})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Savyasachin})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Swetavahana})
(:Entity {name: Arjuna}),[:REL {type: Also Known As}],(:Entity {name: Partha})
(:Entity {name: Subhadra}),[:REL {type: Mother Of}],(:Entity {name: Abhimanyu})
(:Entity {name: Subhadra}),[:REL {type: Wife Of}],(:Entity {name: Arjuna})
(:Entity {name: Subhadra}),[:REL {type: Sister Of}],(:Entity {name: Krishna})
(:Entity {name: Subhadra}),[:REL {type: Sister Of}],(:Entity {name: Balarama})
(:Entity {name: Subhadra}),[:REL {type: Appears With}],(:Entity {name: Balarama})
(:Entity {name: Subhadra}),[:REL {type: Daughter Of}],(:Entity {name: Vasudeva})
(:Entity {name: Subhadra}),[:REL {type: Appears With}],(:Entity {name: Jagannatha})
(:Entity {name: Lakshmana}),[:REL {type: Son Of}],(:Entity {name: Duryodhna})
(:Entity {name: Lakshmana}),[:REL {type: brother}],(:Entity {name: Rama})
(:Entity {name: Lakshmana}),[:REL {type: ally}],(:Entity {name: Rama})
(:Entity {name: Lakshmana}),[:REL {type: son}],(:Entity {name: Dasaratha})
(:Entity {name: Lakshmana}),[:REL {type: enemy}],(:Entity {name: Ravana})
(:Entity {name: Lakshmana}),[:REL {type: son}],(:Entity {name: Angada})
(:Entity {name: Lakshmana}),[:REL {type: incarnation of}],(:Entity {name: Sesha})
(:Entity {name: Lakshmana}),[:REL {type: mother}],(:Entity {name: Sumitra})
(:Entity {name: Lakshmana}),[:REL {type: brother}],(:Entity {name: Satrughna})
(:Entity {name: Lakshmana}),[:REL {type: wife}],(:Entity {name: Urmila})
(:Entity {name: Lakshmana}),[:REL {type: son}],(:Entity {name: Chandra-ketu})
(:Entity {name: Lakshmana}),[:REL {type: attacked}],(:Entity {name: Surpanakha})
(:Entity {name: Lakshmana}),[:REL {type: cut nose of}],(:Entity {name: Surpanakha})
(:Entity {name: Lakshmana}),[:REL {type: died in}],(:Entity {name: Saraya})
(:Entity {name: Lakshmana}),[:REL {type: killed}],(:Entity {name: Khara})
(:Entity {name: Lakshmana}),[:REL {type: killed}],(:Entity {name: Dushana})
(:Entity {name: Uttara}),[:REL {type: Wife Of}],(:Entity {name: Abhimanyu})
(:Entity {name: Uttara}),[:REL {type: Daughter Of}],(:Entity {name: Virata})
(:Entity {name: Uttara}),[:REL {type: Son Of}],(:Entity {name: Raja Virata})
(:Entity {name: Uttara}),[:REL {type: Daughter Of}],(:Entity {name: Raja Virata})
(:Entity {name: Uttara}),[:REL {type: Killed By}],(:Entity {name: Salya})
(:Entity {name: Virata}),[:REL {type: King of}],(:Entity {name: Virata})
(:Entity {name: Abhira}),[:REL {type: Offspring Of}],(:Entity {name: Brahman})
(:Entity {name: Abhira}),[:REL {type: Offspring Of}],(:Entity {name: Woman of Ambashtha})
(:Entity {name: Abhira}),[:REL {type: Modern Representatives Are}],(:Entity {name: Ahirs})
(:Entity {name: Abhira}),[:REL {type: Possible Identification}],(:Entity {name: Ophir of the Bible})
(:Entity {name: Brahman}),[:REL {type: Is A}],(:Entity {name: Varna})
(:Entity {name: Achyuta}),[:REL {type: Is Name Of}],(:Entity {name: Vishnu})
(:Entity {name: Achyuta}),[:REL {type: Is Name Of}],(:Entity {name: Krishna})
(:Entity {name: Vishnu}),[:REL {type: Took Steps As}],(:Entity {name: Agni})
(:Entity {name: Vishnu}),[:REL {type: Disguised as}],(:Entity {name: Brahman})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Achyuta})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Krishna})
(:Entity {name: Vishnu}),[:REL {type: Son Of}],(:Entity {name: Aditi})
(:Entity {name: Vishnu}),[:REL {type: Advised}],(:Entity {name: Gods})
(:Entity {name: Vishnu}),[:REL {type: Gave Amrita To}],(:Entity {name: Gods})
(:Entity {name: Vishnu}),[:REL {type: incarnation as}],(:Entity {name: Rama})
(:Entity {name: Vishnu}),[:REL {type: Took Steps As}],(:Entity {name: Vayu})
(:Entity {name: Vishnu}),[:REL {type: Took Steps As}],(:Entity {name: Surya})
(:Entity {name: Vishnu}),[:REL {type: Saved}],(:Entity {name: Sunahsephas})
(:Entity {name: Vishnu}),[:REL {type: Vahana}],(:Entity {name: Garuda})
(:Entity {name: Vishnu}),[:REL {type: Vehicle}],(:Entity {name: Garuda})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Hari})
(:Entity {name: Vishnu}),[:REL {type: Wife of}],(:Entity {name: Lakshmi})
(:Entity {name: Vishnu}),[:REL {type: Interposed Against}],(:Entity {name: Demons})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Ananta})
(:Entity {name: Vishnu}),[:REL {type: Restrained}],(:Entity {name: Bali})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Narayana})
(:Entity {name: Vishnu}),[:REL {type: Created}],(:Entity {name: Viraj})
(:Entity {name: Vishnu}),[:REL {type: killed}],(:Entity {name: Hiranyakasipu})
(:Entity {name: Vishnu}),[:REL {type: Elevated}],(:Entity {name: Dhruva})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Vasudeva})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Kesava})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Govinda})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Damodara})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Nara})
(:Entity {name: Vishnu}),[:REL {type: incarnation as}],(:Entity {name: Narasimha})
(:Entity {name: Vishnu}),[:REL {type: Visited}],(:Entity {name: Sivi})
(:Entity {name: Vishnu}),[:REL {type: Demanded food from}],(:Entity {name: Sivi})
(:Entity {name: Vishnu}),[:REL {type: Tested devotion of}],(:Entity {name: Sivi})
(:Entity {name: Vishnu}),[:REL {type: Asked sacrifice of}],(:Entity {name: Vrihadgarbha})
(:Entity {name: Vishnu}),[:REL {type: Restored to life}],(:Entity {name: Vrihadgarbha})
(:Entity {name: Vishnu}),[:REL {type: Killed}],(:Entity {name: Sukra's Mother})
(:Entity {name: Vishnu}),[:REL {type: Embodiment Of}],(:Entity {name: Satwaguna})
(:Entity {name: Vishnu}),[:REL {type: Name}],(:Entity {name: Tri-Vikrama})
(:Entity {name: Vishnu}),[:REL {type: Abode}],(:Entity {name: Vaikuntha})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Anantasayana})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Chaturbhuja})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Gopala})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Hrishikesa})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Jalasayin})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Janarddana})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Kirtin})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Lakshmipati})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Madhusudana})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Madhava})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Mukunda})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Murari})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Panchayudha})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Padmanabha})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Pitambara})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Purusha})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Purushottama})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Sarngin})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Sarngipani})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Varshneya})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Vaikunthanatha})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Yajnesa})
(:Entity {name: Vishnu}),[:REL {type: Also known as}],(:Entity {name: Yajneswara})
(:Entity {name: Krishna}),[:REL {type: Assisted}],(:Entity {name: Agni})
(:Entity {name: Krishna}),[:REL {type: Charioteer Of}],(:Entity {name: Arjuna})
(:Entity {name: Krishna}),[:REL {type: friend}],(:Entity {name: Arjuna})
(:Entity {name: Krishna}),[:REL {type: charioteer of}],(:Entity {name: Arjuna})
(:Entity {name: Krishna}),[:REL {type: incarnation of}],(:Entity {name: Vishnu})
(:Entity {name: Krishna}),[:REL {type: Brought Back The Ear Rings Of}],(:Entity {name: Aditi})
(:Entity {name: Krishna}),[:REL {type: enemy}],(:Entity {name: Indra})
(:Entity {name: Krishna}),[:REL {type: defeated}],(:Entity {name: Indra})
(:Entity {name: Krishna}),[:REL {type: Fought Against}],(:Entity {name: Indra})
(:Entity {name: Krishna}),[:REL {type: killed}],(:Entity {name: Naraka})
(:Entity {name: Krishna}),[:REL {type: mother}],(:Entity {name: Devaki})
(:Entity {name: Krishna}),[:REL {type: Son Of}],(:Entity {name: Devaki})
(:Entity {name: Krishna}),[:REL {type: Killed}],(:Entity {name: Aghasura})
(:Entity {name: Krishna}),[:REL {type: Killed}],(:Entity {name: Kansa})
(:Entity {name: Krishna}),[:REL {type: killed}],(:Entity {name: Kansa})
(:Entity {name: Krishna}),[:REL {type: Overcame}],(:Entity {name: Siva})
(:Entity {name: Krishna}),[:REL {type: Restored}],(:Entity {name: Ugrasena})
(:Entity {name: Krishna}),[:REL {type: Descendent Of}],(:Entity {name: Vrishni})
(:Entity {name: Krishna}),[:REL {type: Descendant of}],(:Entity {name: Vrishni})
(:Entity {name: Krishna}),[:REL {type: father}],(:Entity {name: Pradyumna})
(:Entity {name: Krishna}),[:REL {type: son}],(:Entity {name: Pradyumna})
(:Entity {name: Krishna}),[:REL {type: Made King}],(:Entity {name: Vajra})
(:Entity {name: Krishna}),[:REL {type: Protected}],(:Entity {name: Draupadi})
(:Entity {name: Krishna}),[:REL {type: Also Known As}],(:Entity {name: Draupadi})
(:Entity {name: Krishna}),[:REL {type: Recited}],(:Entity {name: Bhagavadgita})
(:Entity {name: Krishna}),[:REL {type: brother}],(:Entity {name: Balarama})
(:Entity {name: Krishna}),[:REL {type: husband}],(:Entity {name: Rukmini})
(:Entity {name: Krishna}),[:REL {type: cousin}],(:Entity {name: Pandavas})
(:Entity {name: Krishna}),[:REL {type: ally}],(:Entity {name: Pandavas})
(:Entity {name: Krishna}),[:REL {type: killed}],(:Entity {name: Jarasandha})
(:Entity {name: Krishna}),[:REL {type: killed}],(:Entity {name: Sisupala})
(:Entity {name: Krishna}),[:REL {type: descendant}],(:Entity {name: Yadu})
(:Entity {name: Krishna}),[:REL {type: Fought With}],(:Entity {name: Jambavat})
(:Entity {name: Krishna}),[:REL {type: killed by}],(:Entity {name: Jara})
(:Entity {name: Krishna}),[:REL {type: husband}],(:Entity {name: Radha})
(:Entity {name: Krishna}),[:REL {type: father}],(:Entity {name: Vasudeva})
(:Entity {name: Krishna}),[:REL {type: also known as}],(:Entity {name: Vasudeva})
(:Entity {name: Krishna}),[:REL {type: husband}],(:Entity {name: Jambavati})
(:Entity {name: Krishna}),[:REL {type: husband}],(:Entity {name: Satyabhama})
(:Entity {name: Krishna}),[:REL {type: spoke}],(:Entity {name: Bhagavad-gita})
(:Entity {name: Krishna}),[:REL {type: also known as}],(:Entity {name: Kesava})
(:Entity {name: Krishna}),[:REL {type: also known as}],(:Entity {name: Govinda})
(:Entity {name: Krishna}),[:REL {type: also known as}],(:Entity {name: Damodara})
(:Entity {name: Krishna}),[:REL {type: also known as}],(:Entity {name: Upendra})
(:Entity {name: Krishna}),[:REL {type: Restored Gem To}],(:Entity {name: Satrajita})
(:Entity {name: Krishna}),[:REL {type: Killed}],(:Entity {name: Trinavartta})
(:Entity {name: Adbhuta-Brahmawa}),[:REL {type: Is Brahmana of the}],(:Entity {name: Sama-Veda})
(:Entity {name: Adbhuta-Brahmawa}),[:REL {type: Treats Of}],(:Entity {name: Auguries})
(:Entity {name: Adharma}),[:REL {type: Personified As Son of}],(:Entity {name: Brahma})
(:Entity {name: Adharma}),[:REL {type: Called}],(:Entity {name: The Destroyer of All Beings})
(:Entity {name: Adhiratha}),[:REL {type: Foster-Father Of}],(:Entity {name: Karna})
(:Entity {name: Adhiratha}),[:REL {type: King Of}],(:Entity {name: Anga})
(:Entity {name: Adhiratha}),[:REL {type: Charioteer Of}],(:Entity {name: Dhritarashtra})
(:Entity {name: Adhiratha}),[:REL {type: husband}],(:Entity {name: Radha})
(:Entity {name: Karna}),[:REL {type: enemy}],(:Entity {name: Arjuna})
(:Entity {name: Karna}),[:REL {type: found by}],(:Entity {name: Adhiratha})
(:Entity {name: Karna}),[:REL {type: king}],(:Entity {name: Anga})
(:Entity {name: Karna}),[:REL {type: father}],(:Entity {name: Surya})
(:Entity {name: Karna}),[:REL {type: killed}],(:Entity {name: Ghatotkacha})
(:Entity {name: Karna}),[:REL {type: Enemy Of}],(:Entity {name: Pandavas})
(:Entity {name: Karna}),[:REL {type: half-brother}],(:Entity {name: Pandavas})
(:Entity {name: Karna}),[:REL {type: ally}],(:Entity {name: Kauravas})
(:Entity {name: Karna}),[:REL {type: mother}],(:Entity {name: Kunti})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Vaikarttana})
(:Entity {name: Karna}),[:REL {type: Also Known As}],(:Entity {name: Vaikarttana})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Vasusenā})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Adhirathi})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Suta})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Radheya})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Anga-raja})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Champadhipa})
(:Entity {name: Karna}),[:REL {type: also known as}],(:Entity {name: Kanina})
(:Entity {name: Karna}),[:REL {type: Son Of}],(:Entity {name: Surya (Vikarttana)})
(:Entity {name: Anga}),[:REL {type: Country of}],(:Entity {name: Bengal Proper about Bhagalpur})
(:Entity {name: Anga}),[:REL {type: Descendants of}],(:Entity {name: Anu})
(:Entity {name: Dhritarashtra}),[:REL {type: Son Of}],(:Entity {name: Ambika})
(:Entity {name: Dhritarashtra}),[:REL {type: Son Of}],(:Entity {name: Vichitra-virya})
(:Entity {name: Dhritarashtra}),[:REL {type: Brother Of}],(:Entity {name: Pandu})
(:Entity {name: Dhritarashtra}),[:REL {type: Son Of}],(:Entity {name: Vyasa})
(:Entity {name: Dhritarashtra}),[:REL {type: Is}],(:Entity {name: Serpent})
(:Entity {name: Dhritarashtra}),[:REL {type: Father Of}],(:Entity {name: Duryodhana})
(:Entity {name: Dhritarashtra}),[:REL {type: Father of}],(:Entity {name: Duryodhana})
(:Entity {name: Dhritarashtra}),[:REL {type: Son Of}],(:Entity {name: Krishna Dwaipayana})
(:Entity {name: Dhritarashtra}),[:REL {type: Intervened For}],(:Entity {name: Pandavas})
(:Entity {name: Dhritarashtra}),[:REL {type: Father Of}],(:Entity {name: Kauravas})
(:Entity {name: Dhritarashtra}),[:REL {type: Husband Of}],(:Entity {name: Gandhari})
(:Entity {name: Dhritarashtra}),[:REL {type: Died With}],(:Entity {name: Gandhari})
(:Entity {name: Adhwaryu}),[:REL {type: Is}],(:Entity {name: Priest})
(:Entity {name: Adhwaryu}),[:REL {type: Reciter Of Prayers Of The}],(:Entity {name: Yajur-veda})
(:Entity {name: Adhyatman}),[:REL {type: Is}],(:Entity {name: Supreme Spirit})
(:Entity {name: Adhyatman}),[:REL {type: Is}],(:Entity {name: Soul of the Universe})
(:Entity {name: Adhyatma Ramayana}),[:REL {type: Considered Part Of}],(:Entity {name: Brahmanda Purana})
(:Entity {name: Adi-Purawa}),[:REL {type: The First Of}],(:Entity {name: Purana})
(:Entity {name: Aditi}),[:REL {type: Wife Of}],(:Entity {name: Vishnu})
(:Entity {name: Aditi}),[:REL {type: Called}],(:Entity {name: Deva-mātri})
(:Entity {name: Aditi}),[:REL {type: Mother Of}],(:Entity {name: Gods})
(:Entity {name: Aditi}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: Aditi}),[:REL {type: Born From}],(:Entity {name: Daksha})
(:Entity {name: Aditi}),[:REL {type: Mother Of}],(:Entity {name: Daksha})
(:Entity {name: Aditi}),[:REL {type: Mother Of}],(:Entity {name: Seven Adityas})
(:Entity {name: Aditi}),[:REL {type: Mother Of}],(:Entity {name: Marttanda})
(:Entity {name: Aditi}),[:REL {type: Wife Of}],(:Entity {name: Kasyapa})
(:Entity {name: Aditi}),[:REL {type: Mother Of}],(:Entity {name: Vamana})
(:Entity {name: Aditi}),[:REL {type: Mother Of}],(:Entity {name: Indra})
(:Entity {name: Gods}),[:REL {type: Resorted To}],(:Entity {name: Vishnu})
(:Entity {name: Gods}),[:REL {type: Quaffed}],(:Entity {name: Amrita})
(:Entity {name: Gods}),[:REL {type: Defeated}],(:Entity {name: Demons})
(:Entity {name: Gods}),[:REL {type: Supported}],(:Entity {name: Brihaspati})
(:Entity {name: Gods}),[:REL {type: Delivered}],(:Entity {name: Bivo-dasa 2})
(:Entity {name: Daksha}),[:REL {type: Son Of}],(:Entity {name: Brahma})
(:Entity {name: Daksha}),[:REL {type: Born From}],(:Entity {name: Aditi})
(:Entity {name: Daksha}),[:REL {type: Is One Of}],(:Entity {name: Adityas})
(:Entity {name: Daksha}),[:REL {type: One Of}],(:Entity {name: Adityas})
(:Entity {name: Daksha}),[:REL {type: One Of}],(:Entity {name: Prajapatis})
(:Entity {name: Daksha}),[:REL {type: Cursed By}],(:Entity {name: Siva})
(:Entity {name: Daksha}),[:REL {type: Decapitated By}],(:Entity {name: Siva})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Angiras})
(:Entity {name: Daksha}),[:REL {type: Father-in-law of}],(:Entity {name: Soma})
(:Entity {name: Daksha}),[:REL {type: Cursed}],(:Entity {name: Soma})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Soma})
(:Entity {name: Daksha}),[:REL {type: Offspring Of}],(:Entity {name: Soma})
(:Entity {name: Daksha}),[:REL {type: One Of}],(:Entity {name: Viswadevas})
(:Entity {name: Daksha}),[:REL {type: Married}],(:Entity {name: Prasuti})
(:Entity {name: Daksha}),[:REL {type: Son Of}],(:Entity {name: Prachetasas})
(:Entity {name: Daksha}),[:REL {type: Son Of}],(:Entity {name: Marisha})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Krodha})
(:Entity {name: Daksha}),[:REL {type: Father Of}],(:Entity {name: Tamas})
